iterations,js_dist,trial,candidate_id,actual_score,predicted_mean,predicted_sd
1,0.22679494837827682,0,desulfurobacterium_atlanticum,1.912423348,2.443653482666667,0.3692676361956692
2,0.2347153478774744,0,fervidobacterium_islandicum,2.693008517,2.4436534826666665,0.3692676361956692
3,0.23424104559422798,0,thermococcus_sibiricus,0.79859919,2.5422244066666666,0.2312082030478732
4,0.23160020425750086,0,thermosipho_africanus,2.679863038,2.4442555603333336,0.369672015908638
5,0.23213650645085,0,thermosipho_melanesiensis,2.535662235,2.6969895449999997,0.015860788754389
6,0.2308062668290562,0,thermotoga_neapolitana,1.490263786,2.63617793,0.0712776477844895
7,0.23509859209706013,0,methanocella_arvoryzae,2.357982922,2.4424912803333334,0.194787232694775
8,0.2335659403267451,0,effusibacillus_pohliae,2.235187813,2.434944547,0.3636811142910393
9,0.22863037133086747,0,thermodesulfobacterium_commune,2.469195783,2.428431634333333,0.3649124228980906
10,0.22449725374196772,0,kosmotoga_olearia,1.967039428,2.4215842763333333,0.1993170537793523
11,0.22430666271907357,0,bordetella_petrii,2.229433324,2.36176279,0.2499354521938371
12,0.22050585928649133,0,methylococcus_capsulatus,2.310160988,2.41752963,0.1877998300680289
13,0.2230606634779751,0,thermodesulfatator_atlanticus,2.532289725,2.353827389666667,0.3237522911960728
14,0.2197800371330234,0,archaeoglobus_fulgidus,2.720748727,2.5604495153333335,0.0882794933757617
15,0.22002184984280918,0,dissulfuribacter_thermophilus,2.904621157,2.5740780783333332,0.1068625932822159
16,0.22401903168240073,0,persephonella_hydrogeniphila,2.134987847,2.7192198696666665,0.1520075148742146
17,0.22159728704435805,0,caldanaerobacter_subterraneus,2.038978311,2.437678371,0.3717862641189596
18,0.21922145035299653,0,methanosarcina_acetivorans,1.739538278,2.3439792916666664,0.3162259983731108
19,0.21713304471666692,0,prosthecobacter_debontii,0.583169457,2.3290136603333336,0.1602637922103171
20,0.19466754774388,0,petrotoga_mobilis,2.301667303,2.300456461,0.5729842853959685
21,0.19507391622472742,0,cellvibrio_japonicus,1.264937508,2.2962632776666667,0.0498705372068427
22,0.19320468798331597,0,heliomicrobium_modesticaldum,1.771193949,2.2823376456666664,0.3163494901942136
23,0.19233232144041978,0,megasphaera_paucivorans,2.075093247,2.2802336026666663,0.3967633187808382
24,0.19104567033052716,0,bacillus_cereus,2.312239078,2.30888454,0.1653673584304606
25,0.1906912833700586,0,bacillus_licheniformis,2.066042506,2.3879331503333336,0.0536840310163501
26,0.18976025973042035,0,geotalea_daltonii,2.106991476,2.2845933676666665,0.1503356395006121
27,0.18939808133325592,0,enterococcus_faecalis,2.132763975,2.269712674333334,0.1519400598577112
28,0.18904358555227468,0,streptococcus_thermophilus,1.841301717,2.291953164,0.1225382062964019
29,0.18937288628792096,0,jeotgalibacillus_marinus,1.414467755,2.269712674333333,0.1519400598577112
30,0.19032261865027744,0,thermotoga_maritima,2.097191426,2.2352630196666667,0.5300731782935898
31,0.1918655463980187,0,pyrococcus_furiosus,1.758248417,2.4375722330000005,0.2477805322282061
32,0.166856838166853,0,paramagnetospirillum_magneticum,2.700682469,2.2135872163333334,0.117727298502353
33,0.16819204129028295,0,methylocella_silvestris,2.090120654,2.426437104666667,0.1999893928042332
34,0.1705220625644848,0,gluconacetobacter_diazotrophicus,1.995561107,2.3576587536666667,0.2628414566177328
35,0.16980723027871078,0,azorhizobium_caulinodans,1.307235383,2.2843119756666668,0.2946400297831103
36,0.17316542320570785,0,falsiroseomonas_stagni,1.982275317,2.2527921266666664,0.3178702741444146
37,0.17190072923325123,0,trichlorobacter_lovleyi,1.731532895,2.200929552333333,0.1559486205583073
38,0.17436576577335602,0,syntrophomonas_wolfei,1.84640567,2.200929552333333,0.1559486205583073
39,0.17674721460747475,0,verminephrobacter_aporrectodeae,0.157432543,2.173956543,0.1394883704456432
40,0.17215502895574236,0,veillonella_seminalis,2.121395073,2.1733654333333337,0.1009815003000227
41,0.17241496343309715,0,adlercreutzia_mucosicola,2.230567136,2.1548253023333332,0.3025706560197267
42,0.17270987569032661,0,parafannyhessea_umbonata,2.101134487,2.205966487,0.0983647302596686
43,0.17487825015724304,0,desulfurobacterium_thermolithotrophum,1.816323548,2.1401991473333335,0.2383039087313675
44,0.17645097744667226,0,mycoplasmopsis_arginini,2.245448,2.136625309,0.5545662213501792
45,0.17622027408561178,0,limosilactobacillus_reuteri,1.594635441,2.1349740436666664,0.2406897807839762
46,0.17740233417781864,0,desulfurella_acetivorans,1.539748495,2.1333718656666667,0.1648362862974515
47,0.17614549050246103,0,asanoa_hainanensis,0.715499281,2.1162905103333336,0.0097200550157183
48,0.1561785097369763,0,methylophaga_frappieri,2.216345237,2.0914463696666665,0.2566721104996124
49,0.15501440761925245,0,oenococcus_oeni,1.180578648,2.0774714536666665,0.2925126423394101
50,0.1227378706051297,0,clostridium_botulinum,2.360204009,2.0748957513333335,0.1902787007995076
51,0.12315965645224344,0,alkaliphilus_oremlandii,2.3489884,2.090884061666667,0.2104915049049799
52,0.1223411614308506,0,spirulina_subsalsa,0.627633412,2.148692491333333,0.1966139186806089
53,0.12264693082580218,0,virgibacillus_dokdonensis,2.290008311,2.0527519516666666,0.3460422250558924
54,0.126185271714227,0,sporolituus_thermophilus,2.637720404,2.0375069076666663,0.2777435497113654
55,0.12590672172574732,0,moorella_thermoacetica,2.651809755,2.214700722,0.3540544355292921
56,0.12519910685365795,0,symbiobacterium_thermophilum,1.628086086,2.2193971723333337,0.3596832474031887
57,0.12712636676066402,0,sorangium_cellulosum,1.097551383,2.213440894,0.3233518483676907
58,0.12976741622574858,0,geobacillus_thermodenitrificans,2.078545695,2.109845731,0.3782159887000329
59,0.12887870220919004,0,nonlabens_ulvanivorans,1.759333533,2.0268322566666668,0.3712013872474183
60,0.1312338118390838,0,leptospira_interrogans,1.731426696,2.0142979966666665,0.1202132543659907
61,0.13042686545963672,0,allofrancisella_guangzhouensis,2.437644826,2.0624688573333336,0.2540765137270648
62,0.12998793572422676,0,bartonella_quintana,0.904540232,2.092056399,0.2884623686247297
63,0.13361379850750443,0,rubritepida_flocculans,1.958113176,2.0133230760000003,0.0349372791781359
64,0.13307705121624647,0,alkalilimnicola_ehrlichii,2.688439099,1.999435173,0.7363143160114313
65,0.13395837529899904,0,treponema_putidum,2.455904887,1.991681917,0.3401028276786573
66,0.1339725744038284,0,pseudobdellovibrio_exovorus,2.213700159,2.125801268,0.2513971644313775
67,0.13454621669228223,0,bdellovibrio_bacteriovorus,2.084078493,2.2482327643333333,0.1573716448690874
68,0.1344131202274771,0,elusimicrobium_minutum,2.141024821,2.2512278463333333,0.1540994533976941
69,0.13771007690727186,0,mycoplasma_mycoides,2.036389871,2.030488143666666,0.4608938181200483
70,0.1373145884278855,0,acinetobacter_baylyi,1.787063747,1.976867266333333,0.7788457702671161
71,0.13932440972091184,0,vibrio_parahaemolyticus,2.504887621,1.976867266333333,0.7788457702671162
72,0.13906683977431994,0,pseudomonas_entomophila,2.140351898,1.9747646723333332,0.5021765135293617
73,0.13889136765846694,0,escherichia_coli,2.28729514,2.331478346666667,0.1493474629525645
74,0.139616838495504,0,actinobacillus_pleuropneumoniae,2.557073073,2.3804594273333333,0.0915412323358475
75,0.14075633029589513,0,vibrio_cholerae,2.624078,2.470385405,0.0883027796393793
76,0.14181025174862583,0,erwinia_tasmaniensis,2.10733047,2.489482071,0.1455611700991898
77,0.1415285889353179,0,pseudomonas_syringae,1.784061296,2.371208473,0.1980928452028565
78,0.14144135920108222,0,polaromonas_naphthalenivorans,2.072496792,2.268251813666667,0.204671922124098
79,0.14142729175085522,0,histophilus_somni,2.261122963,2.2524449389999996,0.3496927433121443
80,0.1424760227829882,0,neisseria_gonorrhoeae,2.008397154,2.007310933333333,0.7894610350223423
81,0.14282576875188538,0,photobacterium_profundum,0.800937326,2.379120925,0.2666191696032455
82,0.13321580473439434,0,chrysiogenes_arsenatis,1.853833754,1.9712058726666664,0.1699739713819717
83,0.1333016158080582,0,porphyromonas_macacae,1.627427615,1.9682263963333335,0.3830238070849512
84,0.13425036422511075,0,shewanella_frigidimarina,1.984510825,1.9554135666666663,0.7595982882703014
85,0.1344400434647577,0,alteromonas_mediterranea,1.60023135,2.2795313223333333,0.2180792331328348
86,0.13464505692193451,0,oleiphilus_messinensis,0.975408891,2.0402566976666665,0.2328500727573043
87,0.11964131586557776,0,pseudoalteromonas_atlantica,0.884356946,1.977979232,0.305798221752806
88,0.10977990435167194,0,sphingopyxis_alaskensis,2.158242304,1.9504067676666663,0.1142118992993602
89,0.11052901466796114,0,gemmobacter_aquatilis,1.833482196,1.945978171,0.1126216771546444
90,0.11130039491483784,0,haloarcula_marismortui,0.035272199,1.941948274,0.5558417997420072
91,0.09712393474057136,0,methanococcoides_burtonii,0.599243482,1.9309164463333337,0.3787634495751249
92,0.08835966607851077,0,geobacillus_kaustophilus,1.883213312,1.9234541613333331,0.1254917958212981
93,0.0885521430354635,0,acidimicrobium_ferrooxidans,1.621514897,1.9222382486666667,0.2482043962324319
94,0.08964003618262147,0,bryobacter_aggregatus,1.530698492,1.913507789,0.2426254559438358
95,0.09141208454328043,0,pseudarthrobacter_chlorophenolicus,1.911899083,1.9097974416666663,0.1598348646708962
96,0.09329165822535072,0,mesomycoplasma_hyorhinis,2.398348022,1.890649805,0.3640789643002584
97,0.09329407465138437,0,mycoplasmoides_pneumoniae,1.861577712,1.941616479,0.4170305310692494
98,0.09444387995430195,0,mycoplasma_mobile,1.946042082,1.890649805,0.3640789643002584
99,0.09524195749539285,0,rubrobacter_radiotolerans,0.93566122,1.879109938,0.0278090497764855
100,0.09540362391860065,0,lactobacillus_delbrueckii,1.919413628,1.875320975666667,0.2203039436215161
101,0.09620584734945535,0,actinocatenispora_sera,0.297541197,1.865559104,0.4327893108566448
102,0.08454095806175904,0,lactococcus_lactis,2.554217518,1.856233711,0.2199436338547663
103,0.08458481132638006,0,streptococcus_pneumoniae,1.670387795,1.9967182253333335,0.4068702978606346
104,0.08684345944491037,0,desulfatibacillum_alkenivorans,2.680878694,2.02196901,0.382769946473096
105,0.08686706853165396,0,sphaerochaeta_pleomorpha,2.453920976,1.93666233,0.4701614016827561
106,0.08704552816943276,0,chlamydia_trachomatis,1.774582628,1.8323790853333335,0.3497994978937453
107,0.08749581788320404,0,synechococcus_elongatus,1.168571766,1.8189524756666664,0.063766451114081
108,0.08844234419167298,0,salinispira_pacifica,1.859476866,1.8143062143333333,0.4919113026655984
109,0.08973679343011916,0,helicobacter_acinonychis,0.907949655,1.8053135223333332,0.3116694440259007
110,0.07974614399029291,0,anaeromyxobacter_dehalogenans,2.169874934,1.798443345,0.4984225789904993
111,0.08050960450045627,0,corynebacterium_urealyticum,1.936603678,1.7954861573333334,0.036586850059314
112,0.0806916456599606,0,brucella_vulpis,1.783819095,1.7932104513333336,0.3464452621115895
113,0.08099436990453523,0,chlorobaculum_parvum,1.00982332,1.790601974,0.1569013873197569
114,0.07408504871553785,0,ferrimicrobium_acidiphilum,1.541531794,1.7892603373333331,0.3037162395105468
115,0.0750312377115507,0,micromonospora_viridifaciens,1.960553202,1.787223761,0.3773504746898762
116,0.07536587997818427,0,xanthomonas_campestris,1.918458323,1.783881168,0.3386125689990341
117,0.07673678461347293,0,rickettsiella_massiliensis,1.217108726,1.7835468726666666,0.6547608511549843
118,0.0736691613057165,0,capnocytophaga_ochracea,0.723472981,1.7683449426666666,0.8374834756278889
119,0.06461613043466952,0,shewanella_halifaxensis,1.460613085,1.7422245083333332,0.6186960699427695
120,0.06081206147205057,0,natranaerobius_thermophilus,1.98966786,1.723601003,0.4384321126450307
121,0.06093086391590433,0,rhodanobacter_fulvus,1.447336291,1.6698376003333335,0.2622240853931314
122,0.0625222379169479,0,lysinibacillus_sphaericus,2.16614441,1.6614259346666669,0.4646306496268093
123,0.06313078391616778,0,paenibacillus_bovis,2.225088831,1.7286972753333334,0.8053775682957937
124,0.06335564714384125,0,patulibacter_medicamentivorans,1.666300339,1.6734089723333334,0.5425998137316638
125,0.06403070475357237,0,deinococcus_deserti,2.03055318,1.631334165666667,0.3275825064120204
126,0.06439890851665886,0,dactylosporangium_aurantiacum,1.037278999,1.5948638960000003,0.6247327742624855
127,0.06384644715727113,0,streptomyces_coelicolor,1.78182938,1.5522836686666668,0.2164280415250909
128,0.0641980187768966,0,legionella_pneumophila,2.502616902,1.5004034746666666,0.5507660191078215
129,0.06464812354487652,0,legionella_erythra,2.439877631,2.0095591243333333,0.5356776669332554
130,0.06522061551153097,0,glaciecola_punicea,0.256041525,1.48498241,0.3982874431877042
131,0.055741327852298406,0,bartonella_henselae,1.89129628,1.455833274333333,0.389823051065834
132,0.05641772447312055,0,streptomonospora_alba,0.685408321,1.455544534666667,0.8210577575324545
133,0.04790847308897354,0,aliivibrio_salmonicida,0.634859086,1.439327501666667,0.8385871773153588
134,0.04154882251679858,0,prochlorococcus_marinus,0.557440257,1.4167854626666667,0.5618186482461146
135,0.03729519977776848,0,chondromyces_apiculatus,0.453266441,1.269218314333333,0.1947253572025528
136,0.03173101026851469,0,marinobacter_nauticus,2.180163838,1.257431986,0.3747696536325745
