org_name	log10_kcatkm
oenococcus_oeni	-4.247022246
oleiphilus_messinensis	-4.198789436
parafannyhessea_umbonata	-5.667776556
paenibacillus_bovis	-5.440688803
patulibacter_medicamentivorans	-5.347159212
pedobacter_hartonius	-4.956805972
persephonella_hydrogeniphila	-5.406908552
porphyromonas_macacae	-5.927054753
prochlorococcus_marinus	-3.261762106
prosthecobacter_debontii	-3.959312371
pyrinomonas_methylaliphatogenes	-5.213073696
rhodanobacter_fulvus	-5.115999521
pseudoroseomonas_rhizosphaerae	-5.419725095
falsiroseomonas_stagni	-5.443683031
rubritepida_flocculans	-5.326331858
rubrobacter_radiotolerans	-5.390019405
salinibacter_ruber	-4.014173344
salinispira_pacifica	-5.190044958
salipiger_mucosus	-4.858795807
sphaerochaeta_pleomorpha	-5.422264675
spirulina_subsalsa	-3.394023427
sporolituus_thermophilus	-5.486058847
streptomonospora_alba	-4.014499859
streptomyces_subrutilus	-5.222384218
synechococcus_elongatus	-5.268759789
thermodesulfatator_atlanticus	-5.287199254
thermodesulfobacterium_commune	-5.218332683
thermomicrobium_roseum	-5.198183008
treponema_putidum	-5.258961293
veillonella_seminalis	-5.58520801
verminephrobacter_aporrectodeae	-3.187960241
virgibacillus_dokdonensis	-5.711211548
mycoplasma_mobile	-5.283073402
