Entry	Isobutanol_%	mean_retained_activity	std_retained_activity
A0A2M7A7S6	8	0.3990116080000001	0.19623674311255804
N1	8	0.17249387866666666	0.038831346745923825
N227	8	0.4221575046666666	0.0016224039946453979
N28	8	0.8627858626666667	0.031306071743960474
N29	8	0.5615638736666667	0.008130065492136369
N459	8	0.39025134166666664	0.013820733111537073
N608	8	0.10784281966666666	0.005627828559401423
N615	8	0.6278029940000001	0.025805765715013116
N78	8	12.469763536666667	1.1619048626436186
N79	8	2.6974158083333335	0.051390714599450736
N82	8	2.074187615	0.2004342392387551
N95	8	0.3724682653333333	0.022329334151059477
A0A0K9HJH1	8	0.5610371706666667	0.029527957919090055
D3PT81	8	0.319143403	0.04388929764782822
A0A1V4QSD8	8	1.3732522796666666	0.039652550084277975
