org_name,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
WP_196402109.1,0.092016301,0.313033604,0.681419441,0.880127074,0.928050721,1,0.798440482,0.481916036,0.359035928,0.24499785,0.161040961,0.119471343,0.099629224,0.092825734,0.077101158
MBI5011768.1,0.114293736,0.273610435,0.588791023,0.779821601,0.977794239,0.917443621,0.711698145,0.416650717,0.326256242,0.23743679,0.170827989,0.136678241,0.125365506,0.124183195,0.114551652
WP_147813585.1,0.143596737,0.412414446,0.751624465,0.89782091,0.926842893,1,0.875165546,0.619511119,0.520737155,0.385081926,0.25886847,0.189530083,0.149196956,0.126058869,0.09601087
WP_165051830.1,0.15196874,0.322787916,0.642451188,0.857909209,0.909921323,1,0.800246331,0.485715687,0.380692258,0.288042467,0.221497682,0.184329966,0.168543846,0.170279608,0.152950583
WP_202073638.1,0.92226752,0.923467362,0.966108212,0.962266865,0.953048595,0.965231142,0.992401038,0.954896499,0.92960784,0.911508921,0.913771656,0.862711708,0.854016504,0.872768751,0.860154
WP_026016174.1,0.141810507,0.284648206,0.566492162,0.777645101,0.871365903,1,0.783941762,0.480994788,0.374116236,0.266987533,0.197438697,0.162267255,0.141581604,0.130181804,0.120627025
WP_241099638.1,0.098198041,0.289333005,0.648606913,0.854238176,0.897441412,1,0.819753197,0.489807784,0.382368025,0.266763616,0.171372871,0.126920256,0.104177933,0.094522722,0.076578776
WP_147080767.1,0.105691141,0.331562265,0.698012777,0.884054972,0.913201757,1,0.853585079,0.553532471,0.437245892,0.303643149,0.191873838,0.137017064,0.10611179,0.088347103,0.06797111
WP_048452653.1,0.143114458,0.320026334,0.631926462,0.830042538,0.886488433,1,0.794212139,0.493942438,0.39123236,0.289823047,0.213607046,0.176892128,0.156285915,0.149414693,0.134106444
WP_144763426.1,0.108465709,0.278629643,0.595041697,0.815244609,0.881457182,1,0.794006523,0.46798548,0.355559712,0.25038202,0.168017624,0.13325058,0.114600646,0.104311797,0.091878516
WP_142586013.1,0.42813202,0.525054935,0.730826633,0.871236485,0.987825992,0.981218415,0.871364758,0.668557939,0.570436204,0.490134019,0.448574858,0.412124784,0.412040185,0.408117392,0.408078218
MBE7202413.1,0.109912743,0.273080458,0.592982465,0.803232994,0.864278142,1,0.813986974,0.498381282,0.384416126,0.270452496,0.184867549,0.142768051,0.120412129,0.113477697,0.091074821
WP_238201056.1,0.368470352,0.402390308,0.637462779,0.779286639,0.819924145,1,0.886205969,0.667663991,0.586399773,0.495983488,0.416691261,0.394026981,0.395636086,0.462472657,0.51210073
MBX9930026.1,0.115139262,0.687113618,0.900229596,0.967615283,1,0.975694964,0.842104837,0.599522045,0.450722126,0.303502986,0.1956089,0.135200319,0.102670879,0.089694304,0.07759173
WP_132254401.1,0.144629823,0.368460118,0.709226048,0.884779773,0.937095118,1,0.852988147,0.567103087,0.451135082,0.330014444,0.232787323,0.186295453,0.164337753,0.158545872,0.135003525
WP_243906849.1,0.160724743,0.319313511,0.632967014,0.816086491,0.878467734,1,0.821610878,0.523641906,0.42117326,0.324736457,0.234150098,0.196082834,0.178779459,0.171605496,0.15547819
WP_243923704.1,0.129391548,0.304910918,0.623847485,0.820112398,0.886521598,1,0.819624724,0.520183687,0.406323267,0.290133186,0.2025363,0.15853875,0.138898367,0.127796098,0.112023337
WP_238194742.1,0.115279538,0.284627241,0.61586519,0.832894107,0.903741161,1,0.807066614,0.473257015,0.356323377,0.251632784,0.170670127,0.13652539,0.11860048,0.111130986,0.099703137
WP_210032200.1,0.161799878,0.350330326,0.656009403,0.841670645,0.898249693,1,0.824466375,0.540643892,0.437531095,0.328409935,0.24322298,0.198664881,0.177425281,0.16535639,0.147847836
ACL59039.1,0.870902764,0.876308734,0.874582756,0.88558997,0.987107235,0.949807229,0.929320509,0.883916754,0.888073205,0.869179663,0.86712175,0.859923174,0.837414977,0.850664474,0.831136978
WP_128562293.1,0.548690921,0.470914094,0.65065336,0.743891458,0.789805646,0.963884276,0.939432713,0.803107929,0.748137194,0.671695136,0.586788261,0.579251223,0.640567336,0.831089063,0.957964093
WP_150999666.1,0.121128118,0.37413645,0.727776385,0.905724957,0.957424188,1,0.850895266,0.561474192,0.434673186,0.305947695,0.207758458,0.160662186,0.137847959,0.126936256,0.107757979
WP_243930616.1,0.191273997,0.341428996,0.63859754,0.829570759,0.885582123,1,0.833673283,0.54432924,0.439058389,0.337075144,0.256481108,0.217852362,0.200071963,0.195126142,0.187294067
WP_043349950.1,0.615559668,0.604287687,0.748062132,0.830480867,0.885703272,1,0.936167055,0.799259039,0.758859941,0.689410472,0.64217688,0.622451997,0.632665703,0.713455812,0.763509889
WP_238275116.1,0.130945033,0.32106217,0.666274935,0.856929407,0.940486684,1,0.851285806,0.546626744,0.43898001,0.316653624,0.221440915,0.172805167,0.149623861,0.140041708,0.116199488
RZK76654.1,0.120543428,0.281975717,0.60100658,0.801579907,0.859395088,1,0.817443514,0.511333166,0.408263337,0.296891118,0.210354471,0.168122958,0.145071897,0.139022967,0.112759208
WP_147763725.1,0.155632489,0.310682416,0.616715583,0.800301535,0.871797679,1,0.822095662,0.534763124,0.432206673,0.323181303,0.242425129,0.197994371,0.17925126,0.1652902,0.14654204
