iterations,js_dist,trial,candidate_id,actual_score,predicted_mean,predicted_sd,algorithm
1,0.16892512168555476,0,methanocella_arvoryzae,5.513734849,4.961371707182568,0.6099072526016938,TreeGazer UCB
2,0.1684682985500489,0,methanosarcina_acetivorans,5.286810935,5.021579782282943,0.5924155924930259,TreeGazer UCB
3,0.16805109734577509,0,elusimicrobium_minutum,4.904174524,5.015027629044315,0.5733023361032247,TreeGazer UCB
4,0.17206235323799676,0,pedobacter_hartonius,4.956805972,4.965270139845991,0.5769561992812354,TreeGazer UCB
5,0.17589186666031498,0,oenococcus_oeni,4.247022246,5.011093945367761,0.5727409013472169,TreeGazer UCB
6,0.17685737030718265,0,caldanaerobacter_subterraneus,5.196148511,5.07780925620678,0.5275671526602387,TreeGazer UCB
7,0.17466136572323607,0,dactylosporangium_aurantiacum,4.380092395,4.993652470537059,0.5509999800631952,TreeGazer UCB
8,0.18433736331877484,0,microbacterium_chocolatum,5.63930079,5.105315030580111,0.51092705112952,TreeGazer UCB
9,0.18314052610656634,0,salinibacter_ruber,4.014173344,5.100806165001145,0.5097818647937646,TreeGazer UCB
10,0.16805742993805278,0,parafannyhessea_umbonata,5.667776556,5.087031562107732,0.525321003173418,TreeGazer UCB
11,0.16851565146024278,0,haloarcula_marismortui,3.790995192,5.054679510024391,0.5424809599551097,TreeGazer UCB
12,0.1507614348035206,0,halobacterium_salinarum,3.572083236,4.769243653185754,0.6449789803369188,TreeGazer UCB
13,0.1293497315852548,0,mycoplasma_mycoides,5.34736067,4.895109616477948,0.6309627836743052,TreeGazer UCB
14,0.12561124362959233,0,mycoplasma_mobile,5.283073402,4.89903077281731,0.6271425046471425,TreeGazer UCB
15,0.1231054281035405,0,acidimicrobium_ferrooxidans,5.18230196,5.082378836303265,0.5819130317489104,TreeGazer UCB
16,0.12024003287627202,0,spirulina_subsalsa,3.394023427,5.022956143067256,0.5969146086351264,TreeGazer UCB
17,0.10359923274105559,0,patulibacter_medicamentivorans,5.347159212,5.001595059034756,0.651740363096672,TreeGazer UCB
18,0.10120034534790037,0,hydrogenobacter_thermophilus,5.647118403,5.118790259686471,0.6093841702322587,TreeGazer UCB
19,0.09969106736786404,0,prochlorococcus_marinus,3.261762106,4.927086315040685,0.6612645266835695,TreeGazer UCB
20,0.1032194744213276,0,pyrinomonas_methylaliphatogenes,5.213073696,4.77414453411301,0.7831457415677603,TreeGazer UCB
21,0.10135850794859366,0,eggerthia_catenaformis,5.032915491,4.870674122370887,0.7604953437485109,TreeGazer UCB
22,0.10091156160217746,0,thermomicrobium_roseum,5.198183008,4.811195646091828,0.761513243326831,TreeGazer UCB
23,0.10115241315800967,0,mesomycoplasma_hyorhinis,5.37732919,4.777462128613333,0.7628188252476279,TreeGazer UCB
24,0.09780782971708821,0,chlamydia_trachomatis,5.36870687,4.71088137065211,0.7837751434247535,TreeGazer UCB
25,0.09563088653074173,0,acaryochloris_marina,3.779491877,4.872876274033104,0.7405450473621704,TreeGazer UCB
26,0.09490273646357503,0,brachyspira_pilosicoli,5.288961354,4.859080297943092,0.7215153676113356,TreeGazer UCB
27,0.09553637975300712,0,actinocatenispora_sera,3.86683608,4.974134630263368,0.7191044106727355,TreeGazer UCB
28,0.09531085534834563,0,streptomyces_subrutilus,5.222384218,4.992901646566912,0.6984390219688928,TreeGazer UCB
29,0.0966036964493768,0,syntrophomonas_wolfei,5.75638017,4.933393286557638,0.7079033821155866,TreeGazer UCB
30,0.09553800935781079,0,chitinophaga_pinensis,5.230017392,4.840256932961102,0.7197164915214167,TreeGazer UCB
31,0.09716927733702035,0,thermotoga_neapolitana,4.726095613,4.977048101942506,0.6953699151681598,TreeGazer UCB
32,0.10619124147801835,0,salinispora_arenicola,5.636848729,4.373607622142414,0.8294563558905677,TreeGazer UCB
33,0.10225867959768828,0,mycoplasmopsis_arginini,5.516576932,4.928394122699029,0.6958144329551109,TreeGazer UCB
34,0.09576160198635426,0,helicobacter_acinonychis,3.978168726,4.637036720424433,0.7622292057896995,TreeGazer UCB
35,0.09189849309853707,0,methylophaga_frappieri,5.412945099,4.989847619866727,0.6746017931703054,TreeGazer UCB
36,0.08738836068704695,0,mycoplasmoides_pneumoniae,5.211530543,4.761224982413871,0.713776526601563,TreeGazer UCB
37,0.08823566532362903,0,bacillus_subtilis,5.642410687,5.042563009791141,0.6589943495754386,TreeGazer UCB
38,0.08517671359435457,0,porphyromonas_macacae,5.927054753,4.988900270246414,0.6750779940330709,TreeGazer UCB
39,0.08734293011336805,0,pseudothermotoga_lettingae,5.390927013,4.967520703521553,0.6806184167481756,TreeGazer UCB
40,0.08404589978370357,0,veillonella_seminalis,5.58520801,5.108386785964472,0.6476043629808276,TreeGazer UCB
41,0.07971899640977982,0,fibrobacter_intestinalis,5.685238354,4.714800159583686,0.7176841356452628,TreeGazer UCB
42,0.080859113220033,0,natranaerobius_thermophilus,5.521989604,5.083572720828647,0.6482492260617168,TreeGazer UCB
43,0.07610668382730088,0,prosthecobacter_debontii,3.959312371,4.758661687026182,0.7259828124495626,TreeGazer UCB
44,0.07609273348687183,0,salipiger_mucosus,4.858795807,5.068528700045101,0.6522544029795605,TreeGazer UCB
45,0.08099119505341114,0,capnocytophaga_ochracea,3.925876737,4.710129348514601,0.7071422485877998,TreeGazer UCB
46,0.08571767012176476,0,rhodanobacter_fulvus,5.115999521,5.040959095107315,0.6364845420136925,TreeGazer UCB
47,0.08378340489378994,0,lachnospira_multipara,3.412176489,4.748634222716662,0.7051816403277044,TreeGazer UCB
48,0.09320902184385317,0,desulfurella_acetivorans,5.41880606,5.058459913550553,0.6486172858439735,TreeGazer UCB
49,0.08885810956933984,0,rickettsiella_massiliensis,4.459729958,5.077911252218243,0.6485893703404219,TreeGazer UCB
50,0.09349224031708206,0,anaeromyxobacter_dehalogenans,5.34605488,4.928324822411275,0.6855789896999123,TreeGazer UCB
51,0.0912371474085973,0,streptococcus_pneumoniae,4.853346831,5.070540169520344,0.6536396266460901,TreeGazer UCB
52,0.09638268677450337,0,clostridium_botulinum,5.527156025,5.048334599315471,0.6485870523344199,TreeGazer UCB
53,0.09172993274870804,0,desulfurobacterium_thermolithotrophum,5.619653187,5.1437642338440615,0.6336133713571366,TreeGazer UCB
54,0.08952123414613856,0,pseudarthrobacter_chlorophenolicus,5.711370503,5.062925323467483,0.6438259038919185,TreeGazer UCB
55,0.09089751025886376,0,bartonella_quintana,4.840001928,5.052152195770845,0.653145831060011,TreeGazer UCB
56,0.09739326177210297,0,flavobacterium_hydatis,5.196048915,4.987785635287891,0.6498748288096254,TreeGazer UCB
57,0.09583762615525089,0,alkaliphilus_oremlandii,5.338165158,5.062961753383358,0.6387064738636763,TreeGazer UCB
58,0.09366941205356216,0,verminephrobacter_aporrectodeae,3.187960241,5.141107710104556,0.6178351838128225,TreeGazer UCB
59,0.09782030633152951,0,polaromonas_naphthalenivorans,5.317724955,4.620035963684343,0.8537240956403479,TreeGazer UCB
60,0.0963199180371569,0,bdellovibrio_bacteriovorus,5.459272283,5.057723253472319,0.6689517649683134,TreeGazer UCB
61,0.09241631924442122,0,geotalea_daltonii,5.236493006,5.113503698988816,0.6501617712448884,TreeGazer UCB
62,0.09184454079705366,0,trichlorobacter_lovleyi,5.123311595,5.11341853548128,0.6476539612242004,TreeGazer UCB
63,0.09078761019718865,0,sphaerochaeta_pleomorpha,5.422264675,5.107904433245235,0.6478154795441774,TreeGazer UCB
64,0.08756073918276792,0,acetohalobium_arabaticum,5.037710364,5.114950932969084,0.641484915342279,TreeGazer UCB
65,0.08766196780114636,0,sphingopyxis_alaskensis,5.151833888,4.988787778718691,0.6630762420073371,TreeGazer UCB
66,0.0880967312770446,0,paenibacillus_bovis,5.440688803,5.093367078427479,0.6629527778831719,TreeGazer UCB
67,0.08450591292413002,0,kosmotoga_olearia,5.535276999,5.035974188076361,0.6571560776886272,TreeGazer UCB
68,0.08052847431794602,0,persephonella_hydrogeniphila,5.406908552,5.064419122277964,0.6665075289504376,TreeGazer UCB
69,0.07805958225001892,0,adlercreutzia_mucosicola,5.572562637,5.096900930506593,0.6445387412759253,TreeGazer UCB
70,0.07490012509131852,0,heliomicrobium_modesticaldum,5.120140924,5.137846351178191,0.633021170312782,TreeGazer UCB
71,0.0754069831897917,0,symbiobacterium_thermophilum,5.055113308,5.104565719734536,0.631947849694363,TreeGazer UCB
72,0.07709844801161295,0,ferrimicrobium_acidiphilum,5.329843014,5.055538278352008,0.6504116350750514,TreeGazer UCB
73,0.07643769756149597,0,moorella_thermoacetica,5.429134351,5.098907772463223,0.6381225185083514,TreeGazer UCB
74,0.07379770133997558,0,faecalibaculum_rodentium,4.024825313,4.387586717327391,0.7657142397864857,TreeGazer UCB
75,0.0708644526172763,0,virgibacillus_dokdonensis,5.711211548,5.12191270100501,0.6120943914105309,TreeGazer UCB
76,0.07044713774350163,0,petrotoga_mobilis,5.532981425,5.102280047088714,0.6207131139822216,TreeGazer UCB
77,0.06686022580716997,0,nonlabens_ulvanivorans,5.044175801,5.073850324175348,0.6174308998451089,TreeGazer UCB
78,0.06892377800646449,0,xanthomonas_campestris,5.063042964,5.1341123367464165,0.5977992583844802,TreeGazer UCB
79,0.0715164373471373,0,kushneria_avicenniae,3.906135606,5.173703259727141,0.6031145322960022,TreeGazer UCB
80,0.07322218983026768,0,legionella_pneumophila,5.493734697,5.162983687406267,0.5979653093662937,TreeGazer UCB
81,0.06957973593289903,0,streptomonospora_alba,4.014499859,5.18324613085371,0.5872487161204589,TreeGazer UCB
82,0.0706781869699191,0,corynebacterium_urealyticum,5.482602052,5.150038783162962,0.6077860349100598,TreeGazer UCB
83,0.06717248320371053,0,asanoa_hainanensis,4.021629975,4.670953928166163,0.7112387249009213,TreeGazer UCB
84,0.0700951560922391,0,halorhodospira_halophila,5.469681503,5.206864021577633,0.5686680359451645,TreeGazer UCB
85,0.06683531022902031,0,helicobacter_rodentium,4.892453571,4.372793783911943,0.7241784349682866,TreeGazer UCB
86,0.07191472985856745,0,oleiphilus_messinensis,4.198789436,5.178963343162755,0.5684622644452596,TreeGazer UCB
87,0.07050718889321071,0,marinobacter_nauticus,5.484093229,4.67194873370502,0.7724349409311706,TreeGazer UCB
88,0.06717949063336565,0,effusibacillus_pohliae,5.378378857,5.21785884403154,0.544099516048754,TreeGazer UCB
89,0.06511762285491197,0,glaciecola_punicea,3.749879071,5.214785152559101,0.5577826743400348,TreeGazer UCB
90,0.06712368259738118,0,alteromonas_mediterranea,5.352618956,4.8614929834178,0.7963600221428941,TreeGazer UCB
91,0.06551444632916341,0,desulfitobacterium_hafniense,5.51538364,5.249300163449933,0.5281865631861762,TreeGazer UCB
92,0.06226768629132996,0,neisseria_gonorrhoeae,5.160282555,5.250256435690513,0.5286203306948605,TreeGazer UCB
93,0.06256600911529966,0,deinococcus_deserti,5.552638424,5.24090842393149,0.5381298691432084,TreeGazer UCB
94,0.059353725083129895,0,bordetella_petrii,5.273511812,5.23664290887211,0.5251247975845449,TreeGazer UCB
95,0.05888514723048672,0,fervidobacterium_nodosum,5.513950188,5.242463927054324,0.539000062524267,TreeGazer UCB
96,0.05582148049139953,0,psychromonas_ingrahamii,3.696466508,5.278571352528421,0.5268416283517333,TreeGazer UCB
97,0.060257265551105485,0,shewanella_halifaxensis,4.269009756,4.983727985518723,0.7179198501600461,TreeGazer UCB
98,0.05921298270088057,0,pseudoalteromonas_atlantica,4.285576609,5.216941232306995,0.5741770541967662,TreeGazer UCB
99,0.0610114396078844,0,photobacterium_profundum,4.458361864,4.952478216755121,0.754962009663078,TreeGazer UCB
100,0.06448564476373987,0,vibrio_parahaemolyticus,5.429763218,4.82747956868647,0.7533292710814887,TreeGazer UCB
101,0.06196371340521356,0,actinobacillus_pleuropneumoniae,5.590938105,4.605082018579046,0.7560409437030888,TreeGazer UCB
102,0.05892779824063348,0,escherichia_coli,5.556138165,4.800909525031228,0.7685136171271071,TreeGazer UCB
103,0.056052320009578285,0,lysinibacillus_sphaericus,5.648809377,5.245932221448472,0.5176012407261387,TreeGazer UCB
